Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,gini,income_per_capita,fertility,child_mortality,labor_ppt_25-54
Senegal,Sub-Saharan Africa,5.132,8.118,0.71,59.802,0.695,-0.046,0.801,40.3,3740.0,4.42,38.7,71.2
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,29.0,13800.0,1.7,8.36,80.2
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.474,0.751,0.038,0.905,35.6,14800.0,1.57,9.41,79.8
Ghana,Sub-Saharan Africa,5.088,8.58,0.727,57.586,0.807,0.123,0.848,42.4,4710.0,3.71,43.5,91.7
Niger,Sub-Saharan Africa,5.074,7.098,0.641,53.78,0.806,0.018,0.693,34.3,991.0,6.93,75.3,85.7
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,46.4,19400.0,2.66,43.6,81.3
Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.697,0.424,0.746,35.9,1660.0,5.07,53.4,74.3
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,47.8,2400.0,4.64,86.6,90.6
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,32.4,4670.0,1.97,26.6,67.4
Guinea,Sub-Saharan Africa,4.984,7.838,0.639,55.008,0.697,0.095,0.766,33.7,2580.0,4.48,91.7,80.0
South Africa,Sub-Saharan Africa,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,63.0,12000.0,2.33,31.3,76.0
Turkey,Middle East and North Africa,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,41.9,25900.0,1.97,9.36,66.5
Pakistan,South Asia,4.934,8.458,0.651,58.709,0.726,0.098,0.787,33.5,5080.0,3.17,65.4,64.0
Morocco,Middle East and North Africa,4.918,8.903,0.56,66.208,0.774,-0.236,0.801,39.6,8220.0,2.32,19.8,62.1
Venezuela,Latin America and Caribbean,4.892,9.073,0.861,66.7,0.615,-0.169,0.827,46.9,8600.0,2.21,25.3,82.7
Georgia,Commonwealth of Independent States,4.891,9.585,0.671,64.3,0.783,-0.238,0.655,36.5,11800.0,1.95,8.73,81.6
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,27.6,14000.0,2.49,21.6,55.5
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,25.0,9080.0,1.6,7.9,82.8
Iraq,Middle East and North Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,29.5,16200.0,4.09,24.5,60.0
Gabon,Sub-Saharan Africa,4.852,9.603,0.776,59.962,0.731,-0.2,0.84,38.0,16900.0,3.48,41.3,73.2
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,35.3,1920.0,4.95,69.0,78.4
Cambodia,Southeast Asia,4.83,8.36,0.765,62.0,0.959,0.034,0.843,42.0,4510.0,2.42,24.9,93.5
Mozambique,Sub-Saharan Africa,4.794,7.158,0.744,54.706,0.882,0.061,0.684,54.0,1220.0,4.92,65.7,84.5
Nigeria,Sub-Saharan Africa,4.759,8.533,0.74,50.102,0.737,0.037,0.878,43.0,5300.0,5.18,111.0,72.8
Mali,Sub-Saharan Africa,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,33.0,2180.0,5.6,89.9,83.5
Iran,Middle East and North Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.714,38.8,15900.0,1.55,12.9,54.2
Uganda,Sub-Saharan Africa,4.636,7.677,0.781,56.101,0.709,0.122,0.855,42.8,1980.0,5.15,41.7,85.7
Liberia,Sub-Saharan Africa,4.625,7.288,0.72,56.498,0.735,0.05,0.85,33.2,1110.0,4.25,65.3,72.0
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.704,0.779,0.287,0.825,40.8,3360.0,3.57,37.3,83.4
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.201,0.656,-0.201,0.87,35.8,11500.0,2.09,15.4,62.2
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,31.8,12300.0,1.7,7.24,60.9
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,59.1,9720.0,3.14,35.4,82.6
Palestinian Territories,Middle East and North Africa,4.517,8.485,0.826,62.25,0.653,-0.163,0.821,33.7,4700.0,3.7,19.0,59.9
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.876,0.509,0.66,38.1,6970.0,2.11,42.5,76.5
Jordan,Middle East and North Africa,4.395,9.182,0.767,67.0,0.755,-0.167,0.705,33.7,8560.0,3.07,14.9,53.4
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,43.3,1830.0,5.45,112.0,82.2
Sri Lanka,South Asia,4.325,9.47,0.827,67.299,0.841,0.079,0.863,39.8,12800.0,1.98,6.76,68.8
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.548,0.082,0.781,45.3,2540.0,4.01,63.5,60.5
Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,31.8,12200.0,3.02,19.2,62.6
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.0,0.752,0.082,0.761,39.1,2110.0,3.66,48.6,92.3
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,32.6,4170.0,4.38,70.7,60.8
Madagascar,Sub-Saharan Africa,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,42.7,1560.0,3.92,46.5,95.5
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,43.1,1700.0,4.14,64.4,87.4
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,57.1,3600.0,4.71,53.0,89.8
Sierra Leone,Sub-Saharan Africa,3.849,7.434,0.63,51.651,0.717,0.084,0.866,34.0,1540.0,3.99,96.5,75.8
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.089,0.774,35.1,8100.0,2.22,32.7,66.6
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,38.6,613.0,5.3,53.6,95.8
Yemen,Middle East and North Africa,3.658,7.578,0.832,57.122,0.602,-0.147,0.8,36.7,2580.0,3.52,54.1,47.4
Tanzania,Sub-Saharan Africa,3.623,7.876,0.702,57.999,0.833,0.183,0.577,37.8,3150.0,4.71,47.7,92.1
Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.422,0.721,50.9,1650.0,2.69,60.0,86.2
Malawi,Sub-Saharan Africa,3.6,6.958,0.537,57.948,0.78,0.038,0.729,45.5,1240.0,4.25,43.0,88.3
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,54.2,2970.0,2.87,72.8,82.9
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,60.5,17900.0,2.52,34.0,88.1
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.167,45.1,2360.0,3.53,30.5,95.2
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,43.2,2420.0,3.4,42.0,91.3
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,36.8,1850.0,3.9,56.1,60.1
